target_velocity,r,random_seed
[0.],379.85184919885194,5073
[0.00050005],373.9519191145968,5073
[0.0010001],375.07627295575986,5073
[0.00150015],376.8916707398125,5073
[0.0020002],379.48648536405193,5073
[0.00250025],375.82295626963764,5073
[0.0030003],373.2591456416674,5073
[0.00350035],375.31652589868474,5073
[0.0040004],376.33865410144057,5073
[0.00450045],375.831002569145,5073
[0.0050005],373.7217318137194,5073
[0.00550055],375.29770593065416,5073
[0.0060006],373.43411095738236,5073
[0.00650065],375.53228935816344,5073
[0.0070007],374.36254286398304,5073
[0.00750075],373.87565961153604,5073
[0.0080008],373.6627410705828,5073
[0.00850085],374.1067933969185,5073
[0.0090009],374.10473195814615,5073
[0.00950095],373.61018829202044,5073
[0.010001],373.9037339516026,5073
[0.01050105],371.2432278512036,5073
[0.0110011],370.34975700248384,5073
[0.01150115],373.23908041366604,5073
[0.0120012],373.54840879507935,5073
[0.01250125],371.6192445376271,5073
[0.0130013],369.90910996344513,5073
[0.01350135],371.1699591664466,5073
[0.0140014],372.5255606314089,5073
[0.01450145],370.0074781622106,5073
[0.0150015],374.0085126532131,5073
[0.01550155],372.21875824805096,5073
[0.0160016],369.1201666848281,5073
[0.01650165],375.5680498181698,5073
[0.0170017],372.645631281694,5073
[0.01750175],369.64133458152315,5073
[0.0180018],369.5840139167767,5073
[0.01850185],369.68828800978395,5073
[0.0190019],372.39772080770757,5073
[0.01950195],365.57754454225034,5073
[0.020002],372.2941222140909,5073
[0.02050205],368.4975222262704,5073
[0.0210021],367.8152955937458,5073
[0.02150215],368.32889528281964,5073
[0.0220022],369.00861198093065,5073
[0.02250225],371.4991622474482,5073
[0.0230023],368.88693392463745,5073
[0.02350235],365.65359858620917,5073
[0.0240024],366.9321930208649,5073
[0.02450245],367.35861696784923,5073
[0.0250025],364.75374267826317,5073
[0.02550255],369.19413904105176,5073
[0.0260026],366.36610825353023,5073
[0.02650265],365.2633813347069,5073
[0.0270027],366.94708635482766,5073
[0.02750275],365.62613744780873,5073
[0.0280028],366.24771815316365,5073
[0.02850285],366.8588084037091,5073
[0.0290029],367.1274290766239,5073
[0.02950295],365.858552320277,5073
[0.030003],367.2938918337783,5073
[0.03050305],358.65445827889084,5073
[0.0310031],365.75652228747896,5073
[0.03150315],362.20569748636024,5073
[0.0320032],365.0723091218761,5073
[0.03250325],364.84021030944336,5073
[0.0330033],365.44406590319437,5073
[0.03350335],363.33367762731103,5073
[0.0340034],364.6770886373967,5073
[0.03450345],359.77218534812704,5073
[0.0350035],364.7384589548345,5073
[0.03550355],364.16016020096396,5073
[0.0360036],362.1400683518811,5073
[0.03650365],363.2849574656382,5073
[0.0370037],370.2497504287401,5073
[0.03750375],363.9284103982184,5073
[0.0380038],362.8442824407713,5073
[0.03850385],363.91567515893166,5073
[0.0390039],363.10613164492537,5073
[0.03950395],361.2755758104848,5073
[0.040004],365.54573038297065,5073
[0.04050405],360.1674763784981,5073
[0.0410041],362.0629855954988,5073
[0.04150415],360.95427299010606,5073
[0.0420042],366.75356167596925,5073
[0.04250425],360.5845735211965,5073
[0.0430043],359.913079387514,5073
[0.04350435],362.71555198699104,5073
[0.0440044],359.9129472321361,5073
[0.04450445],360.1048615929858,5073
[0.0450045],362.2453055338501,5073
[0.04550455],359.6600088758513,5073
[0.0460046],361.1049396682184,5073
[0.04650465],364.5700028916632,5073
[0.0470047],366.42281775813404,5073
[0.04750475],360.641115860015,5073
[0.0480048],360.54592992014074,5073
[0.04850485],360.2772718632492,5073
[0.0490049],358.9269627591426,5073
[0.04950495],359.23079262631666,5073
[0.050005],358.1035284037991,5073
[0.05050505],358.0799748900847,5073
[0.0510051],357.63618436467203,5073
[0.05150515],359.15307845207116,5073
[0.0520052],358.9069912125416,5073
[0.05250525],358.7844445627174,5073
[0.0530053],357.59290566867276,5073
[0.05350535],357.17097042159406,5073
[0.0540054],355.97188032504107,5073
[0.05450545],360.53523602164597,5073
[0.0550055],358.98121840443093,5073
[0.05550555],358.29314056731965,5073
[0.0560056],354.8951388674057,5073
[0.05650565],355.64349059356675,5073
[0.0570057],358.92345456039936,5073
[0.05750575],356.0489608483954,5073
[0.0580058],360.0754594907385,5073
[0.05850585],357.14398523251833,5073
[0.0590059],357.67358474872873,5073
[0.05950595],355.7668694426455,5073
[0.060006],353.07262807821627,5073
[0.06050605],355.19592344108725,5073
[0.0610061],353.63779119695903,5073
[0.06150615],356.5584407449848,5073
[0.0620062],359.0848906474691,5073
[0.06250625],360.57678548056754,5073
[0.0630063],357.0275626597926,5073
[0.06350635],357.58032203886506,5073
[0.0640064],357.61188159841413,5073
[0.06450645],353.25657536547243,5073
[0.0650065],353.7972437953158,5073
[0.06550655],356.2435542504961,5073
[0.0660066],353.14443280990014,5073
[0.06650665],352.5963087705627,5073
[0.0670067],352.30516538542537,5073
[0.06750675],353.2125289378037,5073
[0.0680068],352.87710808280764,5073
[0.06850685],351.59329768727514,5073
[0.0690069],354.0262430734726,5073
[0.06950695],352.28638020736673,5073
[0.070007],359.20781323867783,5073
[0.07050705],351.50099279523454,5073
[0.0710071],352.29198601460587,5073
[0.07150715],351.18968299536436,5073
[0.0720072],350.9809880115523,5073
[0.07250725],356.6053203671405,5073
[0.0730073],347.69969056019164,5073
[0.07350735],353.214700197955,5073
[0.0740074],351.5613499059919,5073
[0.07450745],350.0450866954657,5073
[0.0750075],349.17978936201905,5073
[0.07550755],351.6588490557329,5073
[0.0760076],350.26039236285385,5073
[0.07650765],350.27693717736037,5073
