target_velocity,r,random_seed
[0.],365.984555024722,2878
[0.00050005],371.96649898460623,2878
[0.0010001],367.4685106320067,2878
[0.00150015],370.0645032812244,2878
[0.0020002],368.625977108422,2878
[0.00250025],368.4746639921637,2878
[0.0030003],371.6035373465412,2878
[0.00350035],366.1141401208459,2878
[0.0040004],369.26284281583884,2878
[0.00450045],363.41531670205205,2878
[0.0050005],364.53269721924215,2878
[0.00550055],365.77016190615893,2878
[0.0060006],366.9522181768885,2878
[0.00650065],369.228412535317,2878
[0.0070007],366.8690811595675,2878
[0.00750075],365.8618789254166,2878
[0.0080008],364.0341250770971,2878
[0.00850085],367.0293429368836,2878
[0.0090009],364.6453812231595,2878
[0.00950095],364.0948667333846,2878
[0.010001],366.26931211971026,2878
[0.01050105],364.4318984993253,2878
[0.0110011],368.1529287781943,2878
[0.01150115],365.87752208786094,2878
[0.0120012],364.925232088696,2878
[0.01250125],362.47209052849456,2878
[0.0130013],365.34211671069335,2878
[0.01350135],359.66520310387455,2878
[0.0140014],364.79711827207996,2878
[0.01450145],365.1771632645334,2878
[0.0150015],362.2337554141772,2878
[0.01550155],364.25731132772967,2878
[0.0160016],363.06780350475344,2878
[0.01650165],364.1728627688374,2878
[0.0170017],361.80180670125264,2878
[0.01750175],363.873997158649,2878
[0.0180018],366.12837906937074,2878
[0.01850185],360.2947557773811,2878
[0.0190019],357.99417438880204,2878
[0.01950195],362.5918059397533,2878
[0.020002],364.2693961310917,2878
[0.02050205],359.3249352910162,2878
[0.0210021],360.54111698169356,2878
[0.02150215],360.53244665789583,2878
[0.0220022],362.7581662946539,2878
[0.02250225],358.343326910848,2878
[0.0230023],360.64915577119444,2878
[0.02350235],362.6266955204306,2878
[0.0240024],362.30750350911956,2878
[0.02450245],362.44190578618714,2878
[0.0250025],363.05730586936807,2878
[0.02550255],360.9669946128526,2878
[0.0260026],357.9209447326499,2878
[0.02650265],357.45000924891986,2878
[0.0270027],360.6689930622308,2878
[0.02750275],360.39336927422823,2878
[0.0280028],360.124522044535,2878
[0.02850285],360.2609020691407,2878
[0.0290029],359.7310029838728,2878
[0.02950295],359.48643441735874,2878
[0.030003],360.18691333970617,2878
[0.03050305],356.5859182431771,2878
[0.0310031],357.4834382392402,2878
[0.03150315],358.1178517766515,2878
[0.0320032],358.7179018098356,2878
[0.03250325],358.6044325951211,2878
[0.0330033],356.92552809725106,2878
[0.03350335],355.57213319090414,2878
[0.0340034],357.1046152549392,2878
[0.03450345],356.45841603451026,2878
[0.0350035],353.02984476835985,2878
[0.03550355],356.91652262010325,2878
[0.0360036],355.07550526510454,2878
[0.03650365],356.44874835038945,2878
[0.0370037],356.6199211068495,2878
[0.03750375],356.7081385659141,2878
[0.0380038],355.17435644153875,2878
[0.03850385],353.5794377278126,2878
[0.0390039],353.56512313211255,2878
[0.03950395],357.0351539406689,2878
[0.040004],354.36092391813474,2878
[0.04050405],350.8001872952748,2878
[0.0410041],351.8868056837544,2878
[0.04150415],354.2799781809374,2878
[0.0420042],355.15879203862625,2878
[0.04250425],355.1891617508331,2878
[0.0430043],353.4318681936397,2878
[0.04350435],352.5643821541229,2878
[0.0440044],354.75477725761164,2878
[0.04450445],353.04042489174884,2878
[0.0450045],353.9365416891898,2878
[0.04550455],355.6190280178968,2878
[0.0460046],352.0446091048532,2878
[0.04650465],352.6147751703168,2878
[0.0470047],355.0020891272798,2878
[0.04750475],353.8105325125704,2878
[0.0480048],354.2490372508553,2878
[0.04850485],353.64820562326213,2878
[0.0490049],350.7912151868235,2878
[0.04950495],348.4766238874511,2878
[0.050005],351.4587509687056,2878
[0.05050505],350.44568782577187,2878
[0.0510051],349.41106277634805,2878
[0.05150515],349.23856694293596,2878
[0.0520052],350.9374938798985,2878
[0.05250525],352.12322271626454,2878
[0.0530053],350.3655130490343,2878
[0.05350535],347.1047436201903,2878
[0.0540054],346.21020542305456,2878
[0.05450545],349.43288146251234,2878
[0.0550055],350.090049888814,2878
[0.05550555],347.9002682734208,2878
[0.0560056],347.0752129231448,2878
[0.05650565],348.60978707036617,2878
[0.0570057],343.77389120726286,2878
[0.05750575],348.48881672687696,2878
[0.0580058],348.28996150470374,2878
[0.05850585],347.89529797432465,2878
[0.0590059],345.16120633219634,2878
[0.05950595],347.7484215513937,2878
[0.060006],346.58403224375144,2878
[0.06050605],349.8315409247748,2878
[0.0610061],347.39845337301193,2878
[0.06150615],345.124810204616,2878
[0.0620062],345.4397304022849,2878
[0.06250625],348.16695585543954,2878
[0.0630063],317.162972349603,2878
[0.06350635],347.85401590041124,2878
[0.0640064],345.89609495537877,2878
[0.06450645],341.5412747941735,2878
[0.0650065],346.80318248768543,2878
[0.06550655],347.2835067221077,2878
[0.0660066],346.5467250771661,2878
[0.06650665],346.2715937720874,2878
[0.0670067],343.5272677287003,2878
[0.06750675],341.06196867654955,2878
[0.0680068],344.3283718409942,2878
[0.06850685],344.73796568492816,2878
[0.0690069],344.07532703271835,2878
[0.06950695],341.72320033697355,2878
[0.070007],348.0700832295949,2878
[0.07050705],347.47992993683573,2878
[0.0710071],341.2584761283792,2878
[0.07150715],342.26454828863575,2878
[0.0720072],342.25956086898725,2878
[0.07250725],341.04568547029766,2878
[0.0730073],342.2170999902842,2878
[0.07350735],339.0763092571895,2878
[0.0740074],342.5988232299029,2878
[0.07450745],340.26835288549074,2878
[0.0750075],340.5946097656792,2878
[0.07550755],340.9761448370421,2878
[0.0760076],343.2737104289123,2878
[0.07650765],337.3409904683624,2878
[0.0770077],342.6807634121781,2878
[0.07750775],341.079371364507,2878
[0.0780078],339.74838321215867,2878
[0.07850785],342.81299056068315,2878
[0.0790079],339.2569042754925,2878
[0.07950795],338.26357262017615,2878
[0.080008],337.9989022106118,2878
[0.08050805],340.63483215351624,2878
[0.0810081],343.8897598274655,2878
[0.08150815],340.5327199291441,2878
[0.0820082],336.3995894835522,2878
[0.08250825],341.6626879528579,2878
[0.0830083],341.6116740269255,2878
[0.08350835],337.17581558806825,2878
[0.0840084],334.91496812145226,2878
[0.08450845],337.70877553275943,2878
[0.0850085],338.9258923002214,2878
[0.08550855],338.23178640803803,2878
[0.0860086],335.6675591057562,2878
[0.08650865],337.09686329825155,2878
[0.0870087],339.6074626226174,2878
[0.08750875],337.6762957313468,2878
[0.0880088],337.55837571640717,2878
[0.08850885],337.7791955935237,2878
[0.0890089],335.17037923364626,2878
[0.08950895],336.03266110944935,2878
[0.090009],338.7056365753661,2878
[0.09050905],337.39101389498666,2878
[0.0910091],338.12819233994924,2878
[0.09150915],334.2866366076211,2878
[0.0920092],337.8515985492286,2878
[0.09250925],336.04108586155706,2878
[0.0930093],333.858105364505,2878
[0.09350935],336.29209605285195,2878
[0.0940094],335.2172771272044,2878
[0.09450945],333.91686929739944,2878
[0.0950095],332.27388519352985,2878
[0.09550955],333.2520485624594,2878
[0.0960096],332.5927945786285,2878
[0.09650965],334.11696644962166,2878
[0.0970097],331.90310732480077,2878
[0.09750975],332.03075823436126,2878
[0.0980098],332.57870133755006,2878
[0.09850985],335.6558098270541,2878
[0.0990099],333.134007152849,2878
[0.09950995],332.6197319621736,2878
[0.10001],330.7238353429783,2878
[0.10051005],332.6698296200512,2878
[0.1010101],335.21659129598015,2878
[0.10151015],336.050723325129,2878
[0.1020102],330.9290155573882,2878
[0.10251025],331.1122217755692,2878
[0.1030103],330.5414302401258,2878
[0.10351035],332.61081970460015,2878
[0.1040104],331.53556854012993,2878
[0.10451045],332.2474508121521,2878
[0.1050105],330.3333678074706,2878
[0.10551055],329.01641960292477,2878
[0.1060106],331.5812850812027,2878
[0.10651065],330.6538267645502,2878
[0.1070107],332.4059392243304,2878
[0.10751075],329.31525708278264,2878
[0.1080108],329.3539086574825,2878
[0.10851085],329.37199764750346,2878
[0.1090109],328.9485389844838,2878
[0.10951095],328.0109704518472,2878
[0.110011],331.0796125556187,2878
[0.11051105],330.35876634981287,2878
[0.1110111],328.20907613175007,2878
[0.11151115],328.2624925051108,2878
[0.1120112],329.0107764133028,2878
[0.11251125],326.38782474054,2878
[0.1130113],327.9377942795459,2878
[0.11351135],327.54984745645254,2878
[0.1140114],325.3653673109036,2878
[0.11451145],327.22714085504873,2878
[0.1150115],327.7319050581321,2878
[0.11551155],325.3798872964534,2878
[0.1160116],326.32766156685966,2878
[0.11651165],325.2302368079942,2878
[0.1170117],327.6960442058433,2878
[0.11751175],327.53647756603516,2878
[0.1180118],325.7649458492368,2878
[0.11851185],328.26557746195704,2878
[0.1190119],325.8163107203954,2878
[0.11951195],325.55762144704806,2878
[0.120012],329.28068395083324,2878
[0.12051205],324.9579485587709,2878
[0.1210121],323.77238907013157,2878
[0.12151215],326.3219871746172,2878
[0.1220122],328.385388884634,2878
[0.12251225],323.3186317616769,2878
[0.1230123],323.9016166914724,2878
[0.12351235],324.55553486739524,2878
[0.1240124],325.38088411780535,2878
[0.12451245],325.13996109201895,2878
[0.1250125],326.49278612698,2878
[0.12551256],323.80909609582875,2878
[0.12601261],322.5599178121549,2878
[0.12651265],322.11226204850556,2878
[0.1270127],320.60752123196886,2878
[0.12751275],322.31746252071997,2878
[0.1280128],322.70774258750765,2878
[0.12851284],320.55044769438626,2878
[0.1290129],321.5587907549132,2878
[0.12951295],324.05668934240316,2878
[0.130013],323.49528013066356,2878
[0.13051306],320.1567709709877,2878
[0.1310131],320.51908580071165,2878
[0.13151315],320.23270713112805,2878
[0.1320132],320.41936806437405,2878
[0.13251325],321.1745137345837,2878
[0.13301331],320.45350025541194,2878
[0.13351335],319.975072858541,2878
[0.1340134],319.50374537434567,2878
[0.13451345],318.1320413868602,2878
[0.1350135],318.6309943527851,2878
[0.13551354],318.2940723948484,2878
[0.1360136],321.1114923474642,2878
[0.13651365],318.97200559459475,2878
[0.1370137],319.03143794875473,2878
[0.13751376],320.3669418202826,2878
[0.1380138],319.00596263821444,2878
[0.13851385],318.1457890034754,2878
[0.1390139],319.46599139702374,2878
[0.13951395],318.8846338761841,2878
[0.14001401],315.91900096913514,2878
[0.14051405],318.69174356555885,2878
[0.1410141],317.5384747510848,2878
[0.14151415],318.3252356146236,2878
[0.1420142],313.5647964777137,2878
[0.14251426],315.8766054337863,2878
[0.1430143],317.0188288035895,2878
[0.14351435],316.3867509070984,2878
[0.1440144],316.93628038120363,2878
[0.14451446],318.5973992060344,2878
[0.1450145],316.34740914442426,2878
[0.14551455],316.0941856111707,2878
[0.1460146],316.3973043181368,2878
[0.14651465],317.60771148186046,2878
[0.1470147],317.56985182812434,2878
[0.14751475],313.32537507426474,2878
[0.1480148],315.34938380540507,2878
[0.14851485],317.54231891137994,2878
[0.1490149],317.46349799248793,2878
[0.14951496],314.93465184402885,2878
[0.150015],312.27976526174956,2878
[0.15051505],316.00904258877995,2878
[0.1510151],315.53481514098775,2878
[0.15151516],313.9899869507423,2878
[0.1520152],315.6159450296718,2878
[0.15251525],312.6190060855452,2878
[0.1530153],314.7767508574869,2878
[0.15351535],311.8080605546451,2878
[0.1540154],313.3463400321496,2878
[0.15451545],320.0886750538078,2878
[0.1550155],311.79838326083814,2878
[0.15551555],310.95787376354235,2878
[0.1560156],313.98309312210324,2878
[0.15651566],310.5701231704331,2878
[0.1570157],311.54561759412564,2878
[0.15751575],311.1328601173477,2878
[0.1580158],313.2649873867195,2878
[0.15851586],312.26152211818794,2878
[0.15901591],311.4379783531758,2878
[0.15951595],310.281437424561,2878
[0.160016],311.8499432753233,2878
[0.16051605],312.4319707249095,2878
[0.1610161],308.931725272195,2878
[0.16151614],308.33601179649696,2878
[0.1620162],310.33005694106987,2878
[0.16251625],307.5433853612197,2878
[0.1630163],310.46539543083077,2878
[0.16351636],306.79057737980565,2878
[0.1640164],310.5258175928918,2878
[0.16451645],309.546840795666,2878
[0.1650165],308.2833119701108,2878
[0.16551656],309.02462878442674,2878
[0.16601661],309.22124476896647,2878
[0.16651665],310.3390814949853,2878
[0.1670167],308.67986364371814,2878
[0.16751675],304.5562530719385,2878
[0.1680168],309.06135865219073,2878
[0.16851684],305.8944507571948,2878
[0.1690169],307.2992269281343,2878
[0.16951695],308.1249560880734,2878
[0.170017],307.46455680757174,2878
[0.17051706],308.3749423094794,2878
[0.1710171],306.519446846859,2878
[0.17151715],305.9362456839422,2878
[0.1720172],307.50782781380343,2878
[0.17251725],307.73348427414186,2878
[0.17301731],303.98636132543305,2878
[0.17351735],308.6525288108059,2878
[0.1740174],305.3550575753658,2878
[0.17451745],316.7534408826319,2878
[0.1750175],310.30762675016837,2878
[0.17551756],306.03405533781216,2878
[0.1760176],306.28623728691963,2878
[0.17651765],308.00084717135763,2878
[0.1770177],303.93528775618165,2878
[0.17751776],309.1779655122765,2878
[0.1780178],303.86717603486164,2878
[0.17851785],307.7457491194731,2878
[0.1790179],304.4571167871639,2878
[0.17951795],304.53174472306216,2878
[0.18001801],304.6240975683615,2878
[0.18051805],304.1336452667129,2878
[0.1810181],301.94725003777955,2878
[0.18151815],303.33038652652584,2878
[0.1820182],304.49181392761335,2878
[0.18251826],303.3026095381558,2878
[0.1830183],301.75684309888084,2878
[0.18351835],300.8694397212229,2878
[0.1840184],303.9754677014431,2878
[0.18451846],303.8559303000329,2878
[0.1850185],302.48558855002557,2878
[0.18551855],300.1497076690316,2878
[0.1860186],303.0151526857302,2878
[0.18651865],304.19403706608057,2878
[0.1870187],300.4661214482355,2878
[0.18751875],301.8110155835738,2878
[0.1880188],300.9046700515593,2878
[0.18851885],301.53445418142365,2878
[0.1890189],301.4895901039141,2878
[0.18951896],299.6824324696037,2878
[0.190019],305.70635563305075,2878
[0.19051905],305.85523114923086,2878
[0.1910191],301.2982270094936,2878
[0.19151916],300.79445692092327,2878
[0.19201921],298.5060785627209,2878
[0.19251925],303.401852269201,2878
[0.1930193],298.20016244363677,2878
[0.19351935],299.0868860867844,2878
[0.1940194],298.2301700966929,2878
[0.19451945],298.3152936384928,2878
[0.1950195],297.1153821191093,2878
[0.19551955],297.32342473442554,2878
[0.1960196],299.51791818325944,2878
[0.19651966],299.1442002397061,2878
[0.1970197],297.94515463158797,2878
[0.19751975],304.614280770695,2878
[0.1980198],303.9707462102622,2878
[0.19851986],303.68828309682146,2878
[0.19901991],297.10937770333754,2878
[0.19951995],298.8107051907415,2878
[0.20002],297.85445501768413,2878
[0.20052005],297.0671066953311,2878
[0.2010201],295.25491649533274,2878
[0.20152014],295.1477397934694,2878
[0.2020202],302.1521805541856,2878
[0.20252025],298.70591178425315,2878
[0.2030203],295.0853930847174,2878
[0.20352036],296.81264238328254,2878
[0.2040204],293.97033450823767,2878
[0.20452045],300.0363485257745,2878
[0.2050205],294.79124964981514,2878
[0.20552056],301.4885282913927,2878
[0.20602061],293.21426947330053,2878
[0.20652065],296.0684655192758,2878
[0.2070207],292.96810639939685,2878
[0.20752075],295.1626151890565,2878
[0.2080208],294.1710993782967,2878
[0.20852086],293.55005259435006,2878
[0.2090209],292.7627962214799,2878
[0.20952095],294.5968309532648,2878
[0.210021],300.1988232654349,2878
[0.21052106],295.87285177428555,2878
[0.2110211],291.2385470365633,2878
[0.21152115],295.2148123573304,2878
[0.2120212],298.7388200473129,2878
[0.21252126],291.8968888927209,2878
