target_velocity,r,random_seed
[0.05],-21.928799048462245,5069
[0.07979798],-12.246117765361783,5069
[0.10959596],-17.189866884462695,5069
[0.13939394],-16.01936755391161,5069
[0.16919191],-59.44312903803824,5069
[0.1989899],-48.13876889321164,5069
[0.22878788],-23.00164903288186,5069
[0.25858587],-15.684950080252326,5069
[0.28838384],-21.543351491454374,5069
[0.3181818],-9.660220562652817,5069
[0.34797978],-12.69315603215503,5069
[0.37777779],-18.52396561713622,5069
[0.40757576],-24.53268698091104,5069
[0.43737373],-15.607085978630352,5069
[0.46717173],-14.875148522369482,5069
[0.4969697],-18.719491829165047,5069
[0.5267677],-25.09480392749138,5069
[0.55656564],-25.947770216549273,5069
[0.5863636],-28.287013650664388,5069
[0.61616164],-29.447269347649367,5069
[0.6459596],-18.016460625673858,5069
[0.6757576],-14.421283385113188,5069
[0.70555556],-14.84497125652465,5069
[0.7353535],-15.706533096709926,5069
[0.7651515],-21.970078192656217,5069
[0.7949495],-21.47440462730941,5069
[0.8247475],-15.190347631283808,5069
[0.8545455],-15.139444444536583,5069
[0.88434345],-17.1396959878057,5069
[0.9141414],-17.580249268326188,5069
[0.9439394],-15.895926534721122,5069
[0.97373736],-16.618069874430724,5069
[1.0035354],-19.41863267235571,5069
[1.0333333],-21.415364380970246,5069
[1.0631313],-18.66897613327465,5069
[1.0929292],-25.366148321564214,5069
[1.1227273],-23.389279856096273,5069
[1.1525253],-22.238162267037804,5069
[1.1823232],-22.35205497900525,5069
[1.2121212],-20.806102385424392,5069
[1.2419192],-24.7726510094101,5069
[1.2717172],-27.08259044117727,5069
[1.3015151],-27.275521387146732,5069
[1.3313131],-27.91251140217078,5069
[1.3611112],-25.61083292016696,5069
[1.3909091],-26.09336329670464,5069
[1.4207071],-25.584327151225096,5069
[1.450505],-31.64623368742691,5069
[1.480303],-28.013895975299118,5069
[1.510101],-29.071915075115843,5069
[1.539899],-31.515266084608818,5069
[1.569697],-31.807628789965516,5069
[1.5994949],-28.064258508094632,5069
[1.629293],-34.042170860763036,5069
[1.6590909],-36.93633523204532,5069
[1.6888889],-31.21488625853496,5069
[1.7186868],-36.273015675909164,5069
[1.7484848],-35.908133453599,5069
[1.7782829],-38.22636032356518,5069
[1.8080808],-42.44809798439977,5069
[1.8378788],-45.83055436525038,5069
[1.8676767],-38.37911854589079,5069
[1.8974748],-36.009098204732226,5069
[1.9272727],-37.98020126054426,5069
[1.9570707],-42.105484549090264,5069
[1.9868687],-37.820273819116416,5069
[2.0166667],-43.87315185455212,5069
[2.0464647],-40.382907664439315,5069
[2.0762627],-44.848652699910225,5069
[2.1060605],-47.11482893068184,5069
[2.1358585],-46.5447770358549,5069
[2.1656566],-44.68090926187527,5069
[2.1954546],-43.99514081078976,5069
[2.2252526],-49.57129032082058,5069
[2.2550504],-54.400590235871654,5069
[2.2848485],-51.30153161542544,5069
[2.3146465],-53.61272254490167,5069
[2.3444445],-54.113334007657606,5069
[2.3742423],-57.41499345464072,5069
[2.4040403],-62.601886821690734,5069
[2.4338384],-59.30474699937926,5069
[2.4636364],-56.47403093838878,5069
[2.4934344],-62.72614994917216,5069
[2.5232322],-61.92570143596657,5069
[2.5530303],-60.45744296227633,5069
[2.5828283],-63.549659259695176,5069
[2.6126263],-62.65446950472387,5069
[2.6424243],-65.97065675639136,5069
[2.6722221],-62.775845622301176,5069
[2.7020202],-73.02384927926535,5069
[2.7318182],-74.61679438472328,5069
[2.7616162],-73.07170680838412,5069
[2.791414],-73.5375915523783,5069
[2.821212],-68.95111409458518,5069
[2.85101],-78.08215415959873,5069
[2.880808],-80.57673444094584,5069
[2.9106061],-83.65096607182254,5069
[2.940404],-76.50984528400868,5069
[2.970202],-83.07545377599419,5069
[3.],-91.56683442166863,5069
[2.2848485],-49.77725951679536,5069
[2.3146465],-49.98624640199541,5069
[2.3444445],-49.449208897771996,5069
[2.3742423],-53.312462953270426,5069
[2.4040403],-54.57399396914948,5069
[2.4338384],-54.22086798036756,5069
[2.4636364],-50.09791838061396,5069
[2.4934344],-56.06534182650868,5069
[2.5232322],-59.980638558633466,5069
[2.5530303],-65.7958178609436,5069
[2.5828283],-71.9837909790388,5069
[2.6126263],-73.90481990804028,5069
[2.6424243],-62.15124849724024,5069
[2.6722221],-63.2974518083259,5069
[2.7020202],-88.70466498473105,5069
[2.7318182],-69.4499129320834,5069
[2.7616162],-70.61875638478348,5069
[2.791414],-70.0384322048923,5069
[2.821212],-71.37103729318282,5069
[2.85101],-79.46370546718767,5069
[2.880808],-82.4928986832832,5069
[2.9106061],-78.9191505661088,5069
[2.940404],-75.81288867320282,5069
[2.970202],-89.9069955099226,5069
[3.],-87.42368705894812,5069
[2.2848485],-51.46681514252158,5069
[2.3146465],-54.44150341540766,5069
[2.3444445],-54.6433942629489,5069
[2.3742423],-55.16912791068127,5069
[2.4040403],-54.46170395279339,5069
[2.4338384],-55.66870191042289,5069
[2.4636364],-54.49824871646038,5069
[2.4934344],-58.107583478322645,5069
[2.5232322],-63.173211143700385,5069
[2.5530303],-60.90797976439047,5069
[2.5828283],-64.12250152493047,5069
[2.6126263],-63.417279653285654,5069
[2.6424243],-72.17941971352103,5069
[2.6722221],-68.17177215315247,5069
[2.7020202],-69.89692017806045,5069
[2.7318182],-69.22534216919237,5069
[2.7616162],-69.49955996741734,5069
[2.791414],-69.37451908726831,5069
[2.821212],-73.35716171313067,5069
[2.85101],-70.33545229475556,5069
[2.880808],-80.81554686432204,5069
[2.9106061],-79.20338452362272,5069
[2.940404],-74.04977200492665,5069
[2.970202],-79.63396837270699,5069
[3.],-82.26339485716059,5069
[2.2848485],-47.20832227470103,5069
[2.3146465],-51.986415857794746,5069
[2.3444445],-53.41089445021287,5069
[2.3742423],-52.27633166066492,5069
[2.4040403],-54.61711624533893,5069
[2.4338384],-55.037743456082474,5069
[2.4636364],-72.55931727567656,5069
[2.4934344],-58.322523726901764,5069
[2.5232322],-58.958471695576954,5069
[2.5530303],-69.46691003557069,5069
[2.5828283],-66.33418178772163,5069
[2.6126263],-73.81987932039586,5069
[2.6424243],-62.52856583299962,5069
[2.6722221],-72.58727897109002,5069
[2.7020202],-69.82702423074082,5069
[2.7318182],-74.72134311090026,5069
[2.7616162],-69.13642897473925,5069
[2.791414],-66.45403859691174,5069
[2.821212],-74.71007475599545,5069
[2.85101],-73.4234974538808,5069
[2.880808],-78.48923248943966,5069
[2.9106061],-90.73603997064532,5069
[2.940404],-77.29938718234033,5069
[2.970202],-82.92107848447098,5069
[3.],-86.99836620909262,5069
[2.2848485],-82.3467547171053,5069
[2.3146465],-57.588084262226296,5069
[2.3444445],-50.53012116828355,5069
[2.3742423],-52.6184198196931,5069
[2.4040403],-55.33413038551879,5069
[2.4338384],-57.52274151607343,5069
[2.4636364],-54.74733023765634,5069
[2.4934344],-53.258108018288624,5069
[2.5232322],-61.26166736552773,5069
[2.5530303],-83.93785571256733,5069
[2.5828283],-58.7256827751953,5069
[2.6126263],-67.24578509667948,5069
[2.6424243],-63.46280289802976,5069
[2.6722221],-64.71417758044095,5069
[2.7020202],-64.35518128841764,5069
[2.7318182],-72.5263691160912,5069
[2.7616162],-66.92169343001349,5069
[2.791414],-68.29602434063861,5069
[2.821212],-71.00667393820775,5069
[2.85101],-76.52241936851287,5069
[2.880808],-76.2616347452739,5069
[2.9106061],-75.62727455436973,5069
[2.940404],-88.26172296453693,5069
[2.970202],-86.88938745094909,5069
[3.],-82.27132504055311,5069
[2.2848485],-48.51836748533799,5069
[2.3146465],-47.45931530338644,5069
[2.3444445],-54.08370488238523,5069
[2.3742423],-56.720346566457984,5069
[2.4040403],-56.84585401045076,5069
[2.4338384],-54.307755617008006,5069
[2.4636364],-60.72278228869392,5069
[2.4934344],-58.001390606862216,5069
[2.5232322],-56.91468788705926,5069
[2.5530303],-58.548206002346234,5069
[2.5828283],-68.58331435552587,5069
[2.6126263],-62.900801525301134,5069
[2.6424243],-63.06616187210393,5069
[2.6722221],-66.44402346241894,5069
[2.7020202],-62.753689040411,5069
[2.7318182],-72.95478592908886,5069
[2.7616162],-71.42058368601226,5069
[2.791414],-78.17026115644535,5069
[2.821212],-74.90803242361227,5069
[2.85101],-420.72380185899215,5069
[2.880808],-84.6242072985434,5069
[2.9106061],-79.46803256012237,5069
[2.940404],-79.67631611698388,5069
[2.970202],-83.94812519834343,5069
[3.],-84.75690503686123,5069
[2.2848485],-64.62165380710113,5069
[2.3146465],-52.46667823126476,5069
[2.3444445],-49.25472460541705,5069
[2.3742423],-51.182257253025135,5069
[2.4040403],-56.13175846462198,5069
[2.4338384],-50.976475043372524,5069
[2.4636364],-67.8936871587502,5069
[2.4934344],-58.090825176026655,5069
[2.5232322],-88.5641274193152,5069
[2.5530303],-61.97192473710394,5069
[2.5828283],-62.99778118873974,5069
[2.6126263],-64.73788281602039,5069
[2.6424243],-60.9514215245822,5069
[2.6722221],-72.14913637579183,5069
[2.7020202],-68.77198062333122,5069
[2.7318182],-68.67048012936716,5069
[2.7616162],-66.9390179569494,5069
[2.791414],-80.57228287615575,5069
[2.821212],-83.83138221388236,5069
[2.85101],-84.86937922918514,5069
[2.880808],-420.32388166513954,5069
[2.9106061],-78.31043401751757,5069
