x_position,y_position,r,random_seed
-3.0,-3.0,-187.92031838838972,5250
-3.0,-2.9393939393939394,-181.11834352430563,5250
-3.0,-2.878787878787879,-166.6888117256539,5250
-3.0,-2.8181818181818183,-165.36221766412837,5250
-3.0,-2.757575757575758,-161.09665338023123,5250
-3.0,-2.696969696969697,-165.84141796907483,5250
-3.0,-2.6363636363636362,-162.01965698548688,5250
-3.0,-2.5757575757575757,-156.19958945935227,5250
-3.0,-2.515151515151515,-177.6294018297586,5250
-3.0,-2.4545454545454546,-254.07071571216704,5250
-3.0,-2.393939393939394,-200.47592816980776,5250
-3.0,-2.333333333333333,-150.11052977864082,5250
-3.0,-2.2727272727272725,-148.4181879011594,5250
-3.0,-2.212121212121212,-150.61576480958422,5250
-3.0,-2.1515151515151514,-143.4354277338763,5250
-3.0,-2.090909090909091,-204.02004925165915,5250
-3.0,-2.0303030303030303,-189.3974329995198,5250
-3.0,-1.9696969696969697,-231.6536621488457,5250
-3.0,-1.9090909090909092,-142.06650325691902,5250
-3.0,-1.8484848484848484,-140.03118164055905,5250
-3.0,-1.7878787878787878,-148.95424184904638,5250
-3.0,-1.7272727272727273,-186.84828054884164,5250
-3.0,-1.6666666666666665,-143.6684474639126,5250
-3.0,-1.606060606060606,-265.4977814420152,5250
-3.0,-1.5454545454545454,-134.00980893286035,5250
-3.0,-1.4848484848484849,-133.30244721279635,5250
-3.0,-1.4242424242424243,-173.61519362399986,5250
-3.0,-1.3636363636363635,-134.24320308165133,5250
-3.0,-1.303030303030303,-132.7378625517677,5250
-3.0,-1.2424242424242424,-129.04356074457405,5250
-3.0,-1.1818181818181817,-171.48766819416994,5250
-3.0,-1.121212121212121,-129.79727677921653,5250
-3.0,-1.0606060606060606,-132.08010573010338,5250
-3.0,-1.0,-506.71468858353995,5250
-3.0,-0.9393939393939394,-129.47219065765765,5250
-3.0,-0.8787878787878789,-127.37150017284951,5250
-3.0,-0.8181818181818183,-125.48516092518376,5250
-3.0,-0.7575757575757573,-168.39216684248623,5250
-3.0,-0.6969696969696968,-172.7746772190765,5250
-3.0,-0.6363636363636362,-127.19531514270525,5250
-3.0,-0.5757575757575757,-126.65741119126837,5250
-3.0,-0.5151515151515151,-129.03990951761452,5250
-3.0,-0.4545454545454546,-126.90804491196116,5250
-3.0,-0.39393939393939403,-127.79201053724171,5250
-3.0,-0.33333333333333304,-131.57051172827516,5250
-3.0,-0.2727272727272725,-131.4002337025452,5250
-3.0,-0.21212121212121193,-127.67652601994943,5250
-3.0,-0.15151515151515138,-125.76648295974977,5250
-3.0,-0.09090909090909083,-132.44823454272762,5250
-3.0,-0.030303030303030276,-167.0826803701315,5250
-3.0,0.030303030303030276,-131.39357784544495,5250
-3.0,0.09090909090909083,-127.09073288694667,5250
-3.0,0.15151515151515138,-169.48660867314328,5250
-3.0,0.21212121212121238,-128.05722349480212,5250
-3.0,0.27272727272727293,-126.58356418983165,5250
-3.0,0.3333333333333335,-125.02194688507551,5250
-3.0,0.39393939393939403,-598.7092991350182,5250
-3.0,0.4545454545454546,-126.92681180416845,5250
-3.0,0.5151515151515151,-126.19223336197388,5250
-3.0,0.5757575757575757,-172.37344078442501,5250
-3.0,0.6363636363636367,-167.14135556148992,5250
-3.0,0.6969696969696972,-131.02352294036368,5250
-3.0,0.7575757575757578,-128.05829287502297,5250
-3.0,0.8181818181818183,-130.56726698833575,5250
-3.0,0.8787878787878789,-134.5498837034542,5250
-3.0,0.9393939393939394,-127.44819474092853,5250
-3.0,1.0,-608.0609827000798,5250
-3.0,1.0606060606060606,-138.89731445007448,5250
-3.0,1.121212121212121,-127.9563660757083,5250
-3.0,1.1818181818181817,-127.69101787410764,5250
-3.0,1.2424242424242422,-127.66366156377619,5250
-3.0,1.3030303030303028,-175.81881337821207,5250
-3.0,1.3636363636363633,-127.27070256695325,5250
